강릉,  , 20 이상,  ,  , 25.1, 16.7, 26.1,  , 60, 북동, , 1011.5
강진군,  , 20 이상,  ,  , 23.8, 20.7, 26.5, 3.0, 83, 동, , 1007.4
강화,  , 12.0,  ,  , 26.7, 17.7, 27.5,  , 58, 동, , 1009.8
거제,  , 20 이상,  ,  , 23.8, 19.7, 26.1, 6.6, 78, 동북동, , 1008.7
거창,  , 19.3,  ,  , 20.7, 19.3, 23.9, 3.1, 92, 북, , 1009.5
경주시,  , 4.1,  ,  , 21.2, 19.4, 24.3, 6.4, 90, 북북동, , 1010.4
고산,  , 20 이상,  ,  , 26.7, 24.5, 29.8, 14.2, 88, 북, , 1006.8
고창,  , 20 이상,  ,  , 27.1, 20.9, 28.8, 6.4, 69, 동남동, , 1008.0
고창군, 구름많음, 20 이상, 7, 4, 27.0, 19.6, 28.3, 7.8, 64, 북북동, , 1007.6
고흥,  , 20 이상,  ,  , 23.9, 19.1, 26.0, 2.3, 75, 북북동, , 1008.1
광양시,  , 15.3,  ,  , 23.3, 19.4, 25.7, 0.2, 79, 북동, , 1008.6
광주, 구름많음, 20 이상, 8, 8, 25.4, 22.6, 28.2, 0.8, 85, 남남동, , 1008.1
구미,  , 20 이상,  ,  , 23.7, 18.5, 25.6, 0.3, 73, 동남동, , 1009.9
군산,  , 20 이상,  ,  , 26.9, 19.2, 28.1, 0.0, 63, 북북동, , 1008.8
금산,  , 20 이상,  ,  , 25.3, 18.2, 26.7,  , 65, 동, , 1008.9
김해시,  , 20 이상,  ,  , 23.5, 19.6, 25.9,  , 79, 북, , 1009.4
남원,  , 6.5,  ,  , 21.4, 19.5, 24.4, 0.0, 89, 동북동, , 1008.9
남해,  , 20 이상,  ,  , 22.0, 19.3, 24.7, 3.8, 85, 북, , 1008.8
대관령,  , 20 이상,  ,  , 19.3, 14.9, 21.4,  , 76, 동북동, , 1010.8
대구, 약한 비 연속적, 17.9, 10, 7, 21.3, 19.7, 24.4, 3.8, 91, 남동, , 1010.0
대전, 구름많음, 20 이상, 8, 8, 26.7, 20.5, 28.4,  , 69, 남, , 1009.1
동두천,  , 20 이상,  ,  , 27.1, 17.5, 27.7,  , 56, 북북서, , 1009.4
동해,  , 20 이상,  ,  , 23.6, 18.0, 25.4,  , 71, 북동, , 1011.1
목포, 흐림, 20 이상, 9, 9, 25.4, 21.0, 27.7, 0.2, 77, 동남동, , 1008.3
문경,  , 20 이상,  ,  , 24.2, 16.9, 25.5,  , 64, 동남동, , 1008.8
밀양,  , 20 이상,  ,  , 23.4, 18.2, 25.3, 1.0, 73, 북, , 1008.3
백령도, 맑음, 20 이상, 0, 0, 24.8, 18.7, 26.5,  , 69, 남, , 1008.5
보령,  , 20 이상,  ,  , 28.1, 17.3, 28.4,  , 52, 북동, , 1007.6
보성군,  , 20 이상,  ,  , 24.6, 20.2, 26.8, 1.8, 77, 동남동, , 1007.7
보은,  , 20 이상,  ,  , 25.7, 17.6, 26.7,  , 61, 동북동, , 1009.0
봉화,  , 20 이상,  ,  , 22.8, 13.5, 23.5, 0.2, 56, 북동, , 1009.1
부산, 흐림, 20 이상, 10, 5, 24.4, 20.3, 26.7, 0.8, 78, 동북동, , 1007.0
부안,  , 20 이상,  ,  , 27.6, 19.3, 28.6, 0.0, 61, 동북동, , 1008.6
부여,  , 20 이상,  ,  , 27.7, 18.4, 28.4,  , 57, 동남동, , 1009.3
북강릉, 구름조금, 20 이상, 4, 4, 23.3, 16.3, 24.7,  , 65, 서남서, , 1010.9
북창원,  , 20 이상,  ,  , 23.4, 20.7, 26.2, 0.1, 85, 북서, , 1008.5
북춘천, 구름조금, 20 이상, 3, 3, 26.5, 14.2, 26.3,  , 47, 동북동, , 1009.6
산청,  , 15.8,  ,  , 20.4, 19.5, 23.8, 1.6, 95, 북, , 1010.1
상주,  , 20 이상,  ,  , 24.8, 19.4, 26.7,  , 72, 남서, , 1009.7
서귀포, 구름조금, 20 이상, 3, 3, 27.2, 23.2, 29.6, 87.0, 79, 북동, , 1006.6
서산,  , 20 이상,  ,  , 27.1, 17.5, 27.7,  , 56, 동북동, , 1008.9
서울, 맑음, 20 이상, 1, 1, 27.8, 16.7, 28.0,  , 51, 동북동, , 1008.6
성산,  , 20 이상,  ,  , 24.0, 20.9, 26.7, 26.8, 83, 북북동, , 1007.6
세종,  , 19.8,  ,  , 26.3, 15.9, 26.7,  , 53, 동남동, , 1008.5
속초,  , 20 이상,  ,  , 25.0, 17.9, 26.4,  , 65, 북동, , 1011.4
수원, 구름조금, 20 이상, 4, 4, 27.3, 17.1, 27.7,  , 54, 동남동, , 1009.0
순창군,  , 19.4,  ,  , 24.4, 19.0, 26.3, 0.4, 72, 동남동, , 1008.5
순천,  , 19.9,  ,  , 24.2, 19.9, 26.4, 0.0, 77, 동, , 1007.0
안동, 흐림, 20 이상, 9, 7, 25.2, 16.3, 26.0,  , 58, 남동, , 1010.0
양산시,  , 4.2,  ,  , 22.6, 20.8, 25.7, 0.0, 90, 북동, , 1008.5
양평,  , 20 이상,  ,  , 27.2, 14.2, 26.8,  , 45, 동남동, , 1009.9
여수, 구름많음, 20 이상, 6, 6, 24.1, 18.9, 26.0, 1.7, 73, 북동, , 1008.2
영광군,  , 20 이상,  ,  , 26.0, 20.9, 28.0, 6.2, 74, 남동, , 1008.1
영덕,  , 20 이상,  ,  , 22.1, 16.5, 23.9,  , 71, 북동, , 1010.5
영월,  , 20 이상,  ,  , 25.1, 14.2, 25.3,  , 51, 북동, , 1008.9
영주,  , 20 이상,  ,  , 24.8, 15.6, 25.5,  , 57, 남남동, , 1009.6
영천,  , 20 이상,  ,  , 22.1, 18.2, 24.4, 1.9, 79, 동, , 1010.5
완도,  , 9.1,  ,  , 22.8, 21.4, 26.0, 3.4, 92, 동, , 1008.5
울릉도, 강한 소나기, 2.0, 9, 8, 19.8, 19.4, 23.3, 18.0, 98, 북서, , 1010.6
울산, 비 끝, 19.1, 10, 9, 21.5, 20.3, 24.8, 1.7, 93, 북, , 1009.2
울진,  , 20 이상,  ,  , 24.5, 18.8, 26.3,  , 71, 북북서, , 1010.9
원주,  , 19.9,  ,  , 25.4, 14.2, 25.5,  , 50, 북, , 1008.8
의령군, 흐림, 10.8, 10, 2, 22.0, 19.9, 25.0, 1.3, 88,  , , 1009.3
의성,  , 20 이상,  ,  , 24.3, 17.5, 25.7, 0.0, 66, 동, , 1008.7
이천,  , 20 이상,  ,  , 27.7, 18.1, 28.3,  , 56, 동북동, , 1009.4
인제,  , 20 이상,  ,  , 26.5, 13.9, 26.3,  , 46, 북북동, , 1009.8
인천, 구름조금, 20 이상, 3, 3, 27.9, 14.1, 27.3,  , 43, 동남동, , 1008.6
임실,  , 20 이상,  ,  , 24.2, 18.8, 26.1, 3.1, 72, 남남동, , 1008.3
장수,  , 20 이상,  ,  , 22.5, 18.0, 24.6, 1.4, 76, 북북동, , 1008.1
장흥,  , 20 이상,  ,  , 23.2, 21.0, 26.2, 1.0, 88, 정온, , 1008.2
전주, 구름많음, 20 이상, 6, 6, 27.2, 18.4, 28.1, 0.2, 59, 정온, , 1007.8
정선군,  , 12.9,  ,  , 26.3, 12.3, 25.7,  , 42, 동, , 1009.3
정읍,  , 20 이상,  ,  , 26.0, 19.1, 27.4, 2.8, 66, 동남동, , 1007.8
제주, 구름많음, 20 이상, 8, 8, 24.4, 23.1, 27.8, 21.8, 93, 동북동, , 1008.1
제천, 구름많음, 20 이상, 7, 0, 26.0, 15.0, 26.2,  , 51, 북동, , 1009.0
진도군,  , 20 이상,  ,  , 24.8, 21.1, 27.3, 1.6, 80, 동, , 1007.6
진주,  , 19.2,  ,  , 21.5, 20.1, 24.7, 0.5, 92, 북북서, , 1009.2
창원, 흐림, 20 이상, 10, 9, 23.4, 18.2, 25.3, 0.1, 73, 북북동, , 1008.1
천안,  , 20 이상,  ,  , 26.4, 17.1, 27.1,  , 57, 동, , 1009.6
철원,  , 20 이상,  ,  , 26.9, 13.9, 26.5,  , 45, 동북동, , 1009.4
청송군,  , 15.5,  ,  , 21.5, 18.8, 24.2, 1.8, 85, 남동, , 1010.7
청주, 구름조금, 20 이상, 3, 3, 27.7, 16.9, 28.0,  , 52, 북동, , 1008.7
추풍령,  , 20 이상,  ,  , 22.5, 16.9, 24.3, 0.1, 71, 동, , 1009.1
춘천,  , 20 이상,  ,  , 26.9, 13.6, 26.5,  , 44, 북북동, , 1009.6
충주,  , 20 이상,  ,  , 26.5, 16.7, 27.0,  , 55, 동북동, , 1008.9
태백,  , 20 이상,  ,  , 20.1, 13.3, 21.5, 0.8, 65, 북동, , 1009.6
통영,  , 20 이상,  ,  , 25.1, 20.7, 27.3, 5.7, 77, 북, , 1008.2
파주,  , 10.8,  ,  , 26.6, 18.4, 27.6,  , 61, 북북동, , 1009.7
포항, 약한 비 단속적, 16.3, 10, 8, 21.2, 19.1, 24.1, 3.8, 88,  , , 1010.5
함양군,  , 20 이상,  ,  , 21.4, 19.1, 24.3, 1.5, 87, 남남서, , 1009.6
합천,  , 8.7,  ,  , 21.7, 19.9, 24.8, 3.4, 90, 북동, , 1009.5
해남,  , 20 이상,  ,  , 24.2, 20.9, 26.8, 0.5, 82, 동북동, , 1008.4
홍성, 맑음, 20 이상, 1, 0, 26.7, 18.2, 27.7,  , 60, 북북동, , 1008.7
홍천,  , 20 이상,  ,  , 27.5, 13.4, 26.8,  , 42, 동남동, , 1009.3
흑산도, 맑음, 20 이상, 2, 2, 25.7, 22.5, 28.4, 0.7, 83, 북, , 1008.1
